"newdate" "Vendite_1" "Scontrini_1" "Vendite_2" "Scontrini_2" "Vendite_3" "Scontrini_3" "Vendite_4" "Scontrini_4" "Vendite_5" "Scontrini_5" "Vendite_6" "Scontrini_6" "Giorno" "day" "month" "year" "Scontrino_medio_1" "Scontrino_medio_2" "Scontrino_medio_3" "Scontrino_medio_4" "Scontrino_medio_5" "Scontrino_medio_6" "ZONA"
"124" "2020-05-03" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 3 5 2020 NA NA NA NA NA NA NA
"125" "2020-05-04" NA NA 4956.82 252 NA NA NA NA 4032.24 211 4422.91 231 "lunedì" 4 5 2020 NA 19.6699206349206 NA NA 19.1101421800948 19.1467965367965 NA
"126" "2020-05-05" NA NA 6123.28 356 NA NA NA NA 5038.15 279 5692.42 335 "martedì" 5 5 2020 NA 17.2002247191011 NA NA 18.0578853046595 16.9922985074627 NA
"127" "2020-05-06" NA NA 6961.5 392 NA NA NA NA 4394.43 280 5079.53 332 "mercoledì" 6 5 2020 NA 17.7589285714286 NA NA 15.6943928571429 15.2997891566265 NA
"128" "2020-05-07" 2833.06 181 6732.09 405 3094.92 202 NA NA 4327.19 286 4377.1 284 "giovedì" 7 5 2020 15.6522651933702 16.6224444444444 15.3213861386139 NA 15.130034965035 15.412323943662 NA
"129" "2020-05-08" 3441.45 239 7634.73 476 4117.49 254 NA NA 5000.77 322 4859.99 307 "venerdì" 8 5 2020 14.3993723849372 16.0393487394958 16.2105905511811 NA 15.5303416149068 15.8305863192182 NA
"130" "2020-05-09" 4755.26 296 8393.32 473 4439.84 246 NA NA 5094.13 281 5021.61 336 "sabato" 9 5 2020 16.0650675675676 17.7448625792812 18.0481300813008 NA 18.1285765124555 14.9452678571429 NA
"131" "2020-05-10" 3342.64 209 7034.47 423 3753.51 214 NA NA 3856.51 249 4066.41 255 "domenica" 10 5 2020 15.9934928229665 16.6299527186761 17.5397663551402 NA 15.4879919678715 15.9467058823529 NA
"132" "2020-05-11" 3043.79 237 6351.95 430 3244.08 213 NA NA 4075.62 263 3931.33 272 "lunedì" 11 5 2020 12.8429957805907 14.771976744186 15.2304225352113 NA 15.4966539923954 14.4534191176471 NA
"133" "2020-05-12" 2364.66 200 5826.9 396 3431.31 227 NA NA 3936.01 270 4083.72 278 "martedì" 12 5 2020 11.8233 14.7143939393939 15.1159030837004 NA 14.5778148148148 14.6896402877698 NA
"134" "2020-05-13" 3052.85 228 6049.51 415 3642.33 251 NA NA 4069.63 259 3715.33 278 "mercoledì" 13 5 2020 13.3896929824561 14.5771325301205 14.5112749003984 NA 15.7128571428571 13.3644964028777 NA
"135" "2020-05-14" 2870.9 241 5703.56 397 3535.19 254 NA NA 3881.67 267 3453.17 269 "giovedì" 14 5 2020 11.9124481327801 14.3666498740554 13.9180708661417 NA 14.5380898876404 12.837063197026 NA
"136" "2020-05-15" 3747.2 290 7834.27 488 4764.69 296 NA NA 4571.48 326 4477.8 286 "venerdì" 15 5 2020 12.9213793103448 16.0538319672131 16.0969256756757 NA 14.0229447852761 15.6566433566434 NA
"137" "2020-05-16" 4486.81 315 7063.06 455 4426.07 280 NA NA 5470.61 350 5312.17 337 "sabato" 16 5 2020 14.2438412698413 15.5232087912088 15.8073928571429 NA 15.6303142857143 15.763115727003 NA
"138" "2020-05-17" 4147.44 273 7210.7 459 3834.78 257 NA NA 4438.62 268 4400.82 317 "domenica" 17 5 2020 15.1920879120879 15.7095860566449 14.9213229571984 NA 16.5620149253731 13.8827129337539 NA
"139" "2020-05-18" 4238.92 329 6085.17 460 4394.24 363 NA NA 4983.11 432 4051.03 302 "lunedì" 18 5 2020 12.8842553191489 13.2286304347826 12.1053443526171 NA 11.5349768518519 13.4140066225166 NA
"140" "2020-05-19" 3913.37 311 7020.6 523 4576.43 338 NA NA 4713.56 418 3918.36 287 "martedì" 19 5 2020 12.5831832797428 13.4237093690249 13.5397337278107 NA 11.2764593301435 13.6528222996516 NA
"141" "2020-05-20" 3418.84 297 7294.47 523 4637.24 344 NA NA 5122.5 443 4093.19 305 "mercoledì" 20 5 2020 11.5112457912458 13.947361376673 13.4803488372093 NA 11.5632054176072 13.4202950819672 NA
"142" "2020-05-21" 3860.33 323 6858.93 527 4276.21 343 NA NA 4774.47 410 3931.75 291 "giovedì" 21 5 2020 11.9514860681115 13.0150474383302 12.467084548105 NA 11.6450487804878 13.5111683848797 NA
"143" "2020-05-22" 4262.53 351 8471.01 625 4441.54 363 NA NA 5572.57 480 4488.91 324 "venerdì" 22 5 2020 12.1439601139601 13.553616 12.2356473829201 NA 11.6095208333333 13.8546604938272 NA
"144" "2020-05-23" 6147.2 458 9555.97 666 6721.36 489 NA NA 6122.49 505 4245.79 315 "sabato" 23 5 2020 13.4218340611354 14.3483033033033 13.7451124744376 NA 12.1237425742574 13.4786984126984 NA
"145" "2020-05-24" 5484.13 457 7864.27 567 5494.11 403 NA NA 6146.14 527 4699.37 345 "domenica" 24 5 2020 12.000284463895 13.8699647266314 13.6330272952854 NA 11.662504743833 13.6213623188406 NA
"146" "2020-05-25" 3549.51 326 6292.37 527 3497.2 332 NA NA 3973.92 431 3202.44 301 "lunedì" 25 5 2020 10.8880674846626 11.9399810246679 10.533734939759 NA 9.22023201856149 10.6393355481728 NA
"147" "2020-05-26" 3688.63 321 6948.98 520 3962.5 355 NA NA 4599.01 456 3701.15 330 "martedì" 26 5 2020 11.4910591900312 13.3634230769231 11.1619718309859 NA 10.085548245614 11.2156060606061 NA
"148" "2020-05-27" 3194.59 307 6913.14 552 4493.57 369 NA NA 4634.58 440 4225.3 372 "mercoledì" 27 5 2020 10.4058306188925 12.5238043478261 12.1776964769648 NA 10.5331363636364 11.3583333333333 NA
"149" "2020-05-28" 3300.72 329 7260.27 598 5018.59 408 NA NA 4449.56 454 4274.89 352 "giovedì" 28 5 2020 10.0325835866261 12.1409197324415 12.3004656862745 NA 9.80079295154185 12.1445738636364 NA
"150" "2020-05-29" 4566.5 367 9053.2 682 5333.82 448 NA NA 5547.98 476 5541.89 465 "venerdì" 29 5 2020 12.4427792915531 13.2744868035191 11.9058482142857 NA 11.6554201680672 11.9180430107527 NA
"151" "2020-05-30" 6108.4 497 9629.08 724 6986.36 546 NA NA 7036.61 590 5224.01 456 "sabato" 30 5 2020 12.2905432595573 13.2998342541436 12.7955311355311 NA 11.9264576271186 11.4561622807018 NA
"152" "2020-05-31" 5671.72 490 7901.32 635 6424.72 488 NA NA 5121.36 498 4997.51 443 "domenica" 31 5 2020 11.5749387755102 12.4430236220472 13.1654098360656 NA 10.2838554216867 11.2810609480813 NA
"153" "2020-06-01" 4861.09 420 7191.87 588 5010.32 440 0 3 5635.46 540 3746.68 382 "lunedì" 1 6 2020 11.5740238095238 12.2310714285714 11.3870909090909 0 10.436037037037 9.80806282722513 NA
