Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
5516.98	654.0	7835.19	774.0			2893.54	668.0	6158.70	825.0				1	6	2017	2017-06-01
7138.98	856.0	8847.63	916.0			2248.25	532.0	5885.84	784.0				2	6	2017	2017-06-02
7260.38	910.0	8853.05	927.0			2957.13	672.0	5919.32	868.0				3	6	2017	2017-06-03
7938.67	875.0	7632.36	751.0			2130.92	458.0	5643.61	744.0				4	6	2017	2017-06-04
4248.10	591.0	5965.40	639.0			2504.63	645.0	4253.92	625.0				5	6	2017	2017-06-05
3936.62	536.0	6079.47	666.0			2197.14	557.0	4380.06	663.0				6	6	2017	2017-06-06
4576.46	612.0	6683.41	713.0			3491.43	754.0	4750.84	661.0				7	6	2017	2017-06-07
5968.08	839.0	6528.01	743.0			2262.51	541.0	6339.41	894.0				8	6	2017	2017-06-08
5396.48	712.0	8391.68	943.0			2603.35	596.0	6297.25	861.0				9	6	2017	2017-06-09
8614.19	1086.0	8365.82	934.0			3042.53	664.0	6668.31	893.0				10	6	2017	2017-06-10
6248.54	764.0	6983.30	713.0			2194.99	490.0	5241.31	661.0				11	6	2017	2017-06-11
3920.98	526.0	4616.16	549.0			2355.05	565.0	4634.80	678.0				12	6	2017	2017-06-12
3945.94	586.0	4891.79	541.0			2028.39	547.0	4233.97	614.0				13	6	2017	2017-06-13
4833.61	650.0	5776.14	645.0			2473.00	626.0	4793.70	714.0				14	6	2017	2017-06-14
5572.53	686.0	6919.26	735.0			2379.98	577.0	5302.21	733.0				15	6	2017	2017-06-15
5752.55	753.0	7831.27	903.0			2530.59	591.0	6481.84	880.0				16	6	2017	2017-06-16
8577.44	1164.0	9129.24	943.0			2869.45	633.0	7338.04	1011.0				17	6	2017	2017-06-17
7212.91	839.0	7231.53	715.0			2670.12	528.0	6721.67	780.0				18	6	2017	2017-06-18
4178.54	546.0	5614.74	637.0			2435.51	573.0	4541.86	689.0				19	6	2017	2017-06-19
3905.24	510.0	5131.61	607.0			2516.64	613.0	4621.81	648.0				20	6	2017	2017-06-20
4412.05	580.0	5305.87	618.0			2249.75	590.0	5193.12	742.0				21	6	2017	2017-06-21
5065.64	665.0	5859.60	679.0			2446.85	598.0	5213.44	757.0				22	6	2017	2017-06-22
5167.58	676.0	7194.69	781.0			2686.49	633.0	6316.40	840.0				23	6	2017	2017-06-23
8547.39	1103.0	8079.62	909.0			2857.25	660.0	7755.95	997.0				24	6	2017	2017-06-24
8178.69	979.0	8068.60	820.0			2860.69	575.0	5829.31	764.0				25	6	2017	2017-06-25
5075.02	667.0	7013.16	774.0			2628.86	606.0	5198.61	718.0				26	6	2017	2017-06-26
4961.86	630.0	6296.38	697.0			2559.67	614.0	4593.87	685.0				27	6	2017	2017-06-27
5072.04	637.0	6530.38	704.0			2669.48	634.0	5261.60	706.0				28	6	2017	2017-06-28
